Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1995","1995","1000 ha","11","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1996","1996","1000 ha","11","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","1996","1996","1000 ha","20.65","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","1997","1997","1000 ha","21.65","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1997","1997","1000 ha","10","F","FAO estimate"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1998","1998","1000 ha","9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","1998","1998","1000 ha","22.65","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","1999","1999","1000 ha","22.65","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","1999","1999","1000 ha","9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2000","2000","1000 ha","9","F","FAO estimate"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2000","2000","1000 ha","22.65","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2001","2001","1000 ha","21.65","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2001","2001","1000 ha","10","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2002","2002","1000 ha","10","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2002","2002","1000 ha","21.65","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2003","2003","1000 ha","21.25","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2003","2003","1000 ha","10.4","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2004","2004","1000 ha","10","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2004","2004","1000 ha","21.65","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2005","2005","1000 ha","22.35","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2005","2005","1000 ha","9.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2006","2006","1000 ha","9.2","Fm","Manual Estimation"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2006","2006","1000 ha","22.45","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2007","2007","1000 ha","22.35","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2007","2007","1000 ha","9.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2008","2008","1000 ha","9.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2008","2008","1000 ha","22.35","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2009","2009","1000 ha","22.35","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2009","2009","1000 ha","9.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2010","2010","1000 ha","10.33","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2010","2010","1000 ha","21.32","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2011","2011","1000 ha","21.32","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2011","2011","1000 ha","10.33","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2012","2012","1000 ha","10.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2012","2012","1000 ha","21.35","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2013","2013","1000 ha","21.42","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2013","2013","1000 ha","10.23","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2014","2014","1000 ha","10.23","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2014","2014","1000 ha","21.42","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2015","2015","1000 ha","21.42","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2015","2015","1000 ha","10.23","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2016","2016","1000 ha","10.38","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2016","2016","1000 ha","21.24","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2017","2017","1000 ha","21.2","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2017","2017","1000 ha","10.38","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2018","2018","1000 ha","10.38","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2018","2018","1000 ha","21.16","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6670","Other land","2019","2019","1000 ha","21.16","Fc","Calculated data"
"RL","Land Use","134","Malta","5110","Area","6610","Agricultural land","2019","2019","1000 ha","10.38","Q","Official data reported on FAO Questionnaires from countries"
